Year,Enerji,Endustriyel_Islemler,Tarim,Atik,Toplam
1990,143.15,22.69,51.85,10.32,228.01
1995,165.20,28.40,49.50,12.80,255.90
2000,219.76,26.05,46.03,14.54,306.38
2005,248.50,33.20,48.00,16.50,346.20
2010,290.94,48.57,47.68,18.08,405.27
2015,343.99,59.16,59.21,17.72,480.08
2018,374.72,67.15,68.91,17.30,528.08
2020,369.52,67.24,76.44,16.98,530.18
2021,406.47,74.72,75.38,15.42,571.99
2022,400.59,69.91,71.51,16.26,558.27
2023,395.40,70.90,71.80,14.10,552.20
2024,390.10,71.20,72.10,14.30,547.70
2025,398.50,73.50,72.50,14.50,559.00
