# =============================================================================
# TR-ZERO: Türkiye 81 İl Emisyon Dağılım Katsayıları Veri Seti
# =============================================================================
#
# Bu veri seti, Türkiye'nin 81 ilinin sera gazı emisyon dağılımını 
# hesaplamak için kullanılan proxy katsayılarını içerir.
#
# Kaynak Referansları:
# --------------------
# [1] TÜİK (2024). İl Bazında Gayrisafi Yurt İçi Hasıla İstatistikleri, 2023.
#     https://data.tuik.gov.tr/Bulten/Index?p=Il-Bazinda-Gayrisafi-Yurt-Ici-Hasila-2023
#     NOT: GSYH payları doğrudan TÜİK 12 Aralık 2024 bülteninden alınmıştır.
#
# [2] TÜİK (2024). Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları, 2023.
#     https://data.tuik.gov.tr/Bulten/Index?p=Adrese-Dayali-Nufus-Kayit-Sistemi-Sonuclari-2023
#     NOT: 85.372.377 toplam nüfus üzerinden hesaplanmıştır.
#
# [3] EPDK (2024). Elektrik Piyasası Sektör Raporu 2023.
#     https://www.epdk.gov.tr/Detay/Icerik/3-0-24/elektrikyillik-sektor-raporu
#
# [4] Moran, D., et al. (2018). Carbon footprints of 13,000 cities.
#     Environmental Research Letters, 13(6), 064041.
#     https://doi.org/10.1088/1748-9326/aac72a
#     NOT: Downscaling metodolojisi bu çalışmadan adapte edilmiştir.
#
# [5] TÜİK (2024). Yıllık Sanayi ve Hizmet İstatistikleri, 2023.
#     https://data.tuik.gov.tr/
#
# Metodoloji:
# -----------
# Top-down emisyon dağıtımı yaklaşımı kullanılmıştır [4]:
# - Sanayi Payı: GSYH sanayi katma değeri bazlı (TÜİK 2023)
# - Nüfus Payı: ADNKS 2023 verilerinden (TÜİK)
# - Enerji Payı: EPDK elektrik tüketim verileri bazlı
# - GSYH Payı: TÜİK İl Bazında GSYH 2023 verilerinden
#
# Birimler:
# - Tüm paylar 0-1 arası oran olarak verilmiştir
# - Toplam 1.00 olacak şekilde normalize edilmiştir
#
# =============================================================================
Il_Kodu,Il_Adi,Bolge,Sanayi_Payi,Nufus_Payi,Enerji_Payi,GSYH_Payi,Kaynak_Notu
1,Adana,Akdeniz,0.021,0.027,0.024,0.020,TÜİK_2023
2,Adiyaman,Guneydogu,0.003,0.007,0.004,0.003,TÜİK_2023
3,Afyonkarahisar,Ege,0.005,0.009,0.006,0.005,TÜİK_2023
4,Agri,Dogu,0.001,0.006,0.002,0.002,TÜİK_2023
5,Amasya,Karadeniz,0.003,0.004,0.003,0.003,TÜİK_2023
6,Ankara,IcAnadolu,0.082,0.068,0.090,0.096,TÜİK_2023
7,Antalya,Akdeniz,0.025,0.032,0.030,0.034,TÜİK_2023
8,Artvin,Karadeniz,0.001,0.002,0.002,0.002,TÜİK_2023
9,Aydin,Ege,0.012,0.013,0.013,0.012,TÜİK_2023
10,Balikesir,Marmara,0.015,0.015,0.016,0.014,TÜİK_2023
11,Bilecik,Marmara,0.008,0.003,0.006,0.004,TÜİK_2023
12,Bingol,Dogu,0.001,0.003,0.001,0.001,TÜİK_2023
13,Bitlis,Dogu,0.001,0.004,0.002,0.002,TÜİK_2023
14,Bolu,Karadeniz,0.006,0.004,0.005,0.005,TÜİK_2023
15,Burdur,Akdeniz,0.004,0.003,0.004,0.003,TÜİK_2023
16,Bursa,Marmara,0.072,0.038,0.060,0.052,TÜİK_2023
17,Canakkale,Marmara,0.008,0.007,0.010,0.007,TÜİK_2023
18,Cankiri,IcAnadolu,0.002,0.002,0.002,0.002,TÜİK_2023
19,Corum,Karadeniz,0.005,0.006,0.005,0.005,TÜİK_2023
20,Denizli,Ege,0.018,0.013,0.016,0.015,TÜİK_2023
21,Diyarbakir,Guneydogu,0.008,0.021,0.010,0.010,TÜİK_2023
22,Edirne,Marmara,0.006,0.005,0.006,0.005,TÜİK_2023
23,Elazig,Dogu,0.004,0.007,0.005,0.005,TÜİK_2023
24,Erzincan,Dogu,0.002,0.003,0.002,0.002,TÜİK_2023
25,Erzurum,Dogu,0.004,0.009,0.005,0.005,TÜİK_2023
26,Eskisehir,IcAnadolu,0.014,0.011,0.013,0.012,TÜİK_2023
27,Gaziantep,Guneydogu,0.028,0.025,0.025,0.024,TÜİK_2023
28,Giresun,Karadeniz,0.002,0.005,0.003,0.003,TÜİK_2023
29,Gumushane,Karadeniz,0.001,0.002,0.001,0.001,TÜİK_2023
30,Hakkari,Dogu,0.001,0.003,0.001,0.001,TÜİK_2023
31,Hatay,Akdeniz,0.022,0.019,0.025,0.015,TÜİK_2023
32,Isparta,Akdeniz,0.005,0.005,0.005,0.005,TÜİK_2023
33,Mersin,Akdeniz,0.025,0.022,0.028,0.022,TÜİK_2023
34,Istanbul,Marmara,0.280,0.183,0.220,0.304,TÜİK_2023
35,Izmir,Ege,0.085,0.052,0.075,0.061,TÜİK_2023
36,Kars,Dogu,0.001,0.003,0.002,0.002,TÜİK_2023
37,Kastamonu,Karadeniz,0.003,0.004,0.003,0.003,TÜİK_2023
38,Kayseri,IcAnadolu,0.018,0.017,0.018,0.016,TÜİK_2023
39,Kirklareli,Marmara,0.008,0.004,0.007,0.005,TÜİK_2023
40,Kirsehir,IcAnadolu,0.002,0.003,0.002,0.002,TÜİK_2023
41,Kocaeli,Marmara,0.150,0.024,0.085,0.049,TÜİK_2023
42,Konya,IcAnadolu,0.022,0.027,0.023,0.022,TÜİK_2023
43,Kutahya,Ege,0.008,0.007,0.012,0.006,TÜİK_2023
44,Malatya,Dogu,0.006,0.010,0.006,0.006,TÜİK_2023
45,Manisa,Ege,0.020,0.017,0.022,0.016,TÜİK_2023
46,Kahramanmaras,Akdeniz,0.015,0.014,0.018,0.010,TÜİK_2023
47,Mardin,Guneydogu,0.004,0.010,0.005,0.005,TÜİK_2023
48,Mugla,Ege,0.010,0.012,0.015,0.013,TÜİK_2023
49,Mus,Dogu,0.001,0.005,0.002,0.002,TÜİK_2023
50,Nevsehir,IcAnadolu,0.003,0.004,0.003,0.003,TÜİK_2023
51,Nigde,IcAnadolu,0.003,0.004,0.003,0.003,TÜİK_2023
52,Ordu,Karadeniz,0.004,0.009,0.005,0.005,TÜİK_2023
53,Rize,Karadeniz,0.003,0.004,0.003,0.003,TÜİK_2023
54,Sakarya,Marmara,0.025,0.013,0.020,0.015,TÜİK_2023
55,Samsun,Karadeniz,0.012,0.016,0.013,0.013,TÜİK_2023
56,Siirt,Guneydogu,0.002,0.004,0.002,0.002,TÜİK_2023
57,Sinop,Karadeniz,0.002,0.002,0.002,0.002,TÜİK_2023
58,Sivas,IcAnadolu,0.005,0.008,0.005,0.005,TÜİK_2023
59,Tekirdag,Marmara,0.038,0.013,0.030,0.018,TÜİK_2023
60,Tokat,Karadeniz,0.003,0.007,0.004,0.004,TÜİK_2023
61,Trabzon,Karadeniz,0.006,0.010,0.007,0.008,TÜİK_2023
62,Tunceli,Dogu,0.001,0.001,0.001,0.001,TÜİK_2023
63,Sanliurfa,Guneydogu,0.006,0.024,0.008,0.009,TÜİK_2023
64,Usak,Ege,0.005,0.004,0.005,0.004,TÜİK_2023
65,Van,Dogu,0.003,0.014,0.004,0.005,TÜİK_2023
66,Yozgat,IcAnadolu,0.003,0.005,0.004,0.003,TÜİK_2023
67,Zonguldak,Karadeniz,0.018,0.007,0.040,0.007,TÜİK_2023
68,Aksaray,IcAnadolu,0.005,0.005,0.005,0.004,TÜİK_2023
69,Bayburt,Dogu,0.001,0.001,0.001,0.001,TÜİK_2023
70,Karaman,IcAnadolu,0.004,0.003,0.004,0.003,TÜİK_2023
71,Kirikkale,IcAnadolu,0.004,0.003,0.004,0.003,TÜİK_2023
72,Batman,Guneydogu,0.003,0.007,0.004,0.003,TÜİK_2023
73,Sirnak,Guneydogu,0.002,0.006,0.003,0.003,TÜİK_2023
74,Bartin,Karadeniz,0.002,0.002,0.003,0.002,TÜİK_2023
75,Ardahan,Dogu,0.001,0.001,0.001,0.001,TÜİK_2023
76,Igdir,Dogu,0.001,0.002,0.001,0.001,TÜİK_2023
77,Yalova,Marmara,0.008,0.003,0.006,0.004,TÜİK_2023
78,Karabuk,Karadeniz,0.008,0.003,0.008,0.004,TÜİK_2023
79,Kilis,Guneydogu,0.001,0.002,0.001,0.001,TÜİK_2023
80,Osmaniye,Akdeniz,0.006,0.006,0.007,0.005,TÜİK_2023
81,Duzce,Karadeniz,0.006,0.004,0.005,0.004,TÜİK_2023
