Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon,Ulasim_Toplam_Emisyon,Karayolu_EV_Penetrasyon,Ulasim_Azaltim_Orani,Il_Emisyonlari_JSON,Istanbul_Emisyon,Ankara_Emisyon,Izmir_Emisyon,Grid_Emisyon_Faktoru,GDP_Etkisi_USD,Istihdam_Etkisi_Kisi,Ortalama_Transit_Kapasite
2025,0,145.74404354604155,110,0,0,0,0,447.20000000000005,BAU,0.0,0.0,10,50,68.22450271285173,89.9923,0.0,0.0,"{""Istanbul"": 9.58830622195492, ""Ankara"": 10.947313151549185, ""Izmir"": 7.810477586452145, ""Bursa"": 9.171033302300295, ""Kocaeli"": 3.61724295719019, ""Adana"": 10.470667181392542, ""Gaziantep"": 8.637236734913898, ""Konya"": 6.095726499933462, ""Antalya"": 7.6253170984455325, ""Mersin"": 2.446169729285379, ""Kayseri"": 5.455467453503506, ""Eskisehir"": 8.096456954780411, ""Sakarya"": 6.519178003162481, ""Denizli"": 8.66585887831494, ""Manisa"": 6.356921811159871, ""Zonguldak"": 9.183666539003424, ""Hatay"": 17.068119587431838, ""Samsun"": 7.988883855267534}",9.58830622195492,10.947313151549185,7.810477586452145,0.442,0.0,0.0,0.258859449933157
2026,0,146.11768310450861,110,0,0,0,410,447.20000000000005,BAU,0.0,9.804633340296197,10,50,68.5981422713188,89.9923,0.0,0.0,"{""Istanbul"": 9.616718128860498, ""Ankara"": 10.947313151549185, ""Izmir"": 7.810477586452145, ""Bursa"": 9.193849445403094, ""Kocaeli"": 3.6370541149886892, ""Adana"": 10.528176583857435, ""Gaziantep"": 8.677789180902492, ""Konya"": 6.095726499933462, ""Antalya"": 7.674194142274463, ""Mersin"": 2.446169729285379, ""Kayseri"": 5.455467453503506, ""Eskisehir"": 8.137249722334966, ""Sakarya"": 6.545603284099877, ""Denizli"": 8.66585887831494, ""Manisa"": 6.382143820334008, ""Zonguldak"": 9.219432987479761, ""Hatay"": 17.095574539667194, ""Samsun"": 7.988883855267534}",9.616718128860498,10.947313151549185,7.810477586452145,0.45036363636363635,0.0,0.0,0.258859449933157
2027,20,142.25093633083077,43,67,0,0,670,447.20000000000005,BAU,0.0,13.751862932754378,10,50,64.73139549764093,89.9923,0.0,0.0,"{""Istanbul"": 9.325873008701283, ""Ankara"": 10.71510586665213, ""Izmir"": 7.633695471211672, ""Bursa"": 8.76283014469914, ""Kocaeli"": 3.6370541149886892, ""Adana"": 10.166114064103919, ""Gaziantep"": 8.15724436152129, ""Konya"": 6.031688760697782, ""Antalya"": 7.464713094945144, ""Mersin"": 2.446169729285379, ""Kayseri"": 5.179200628510131, ""Eskisehir"": 8.065531992820997, ""Sakarya"": 6.430094168396573, ""Denizli"": 8.600701149133915, ""Manisa"": 6.218075922651428, ""Zonguldak"": 9.053597091798176, ""Hatay"": 16.7886505675636, ""Samsun"": 7.574596193149514}",9.325873008701283,10.71510586665213,7.633695471211672,0.4497878787878788,64629.864411294235,12368796.122432753,0.258859449933157
2028,20,141.3128778949306,30,80,0,0,790,447.20000000000005,BAU,0.0,13.751862932754378,10,50,63.79333706174079,89.9923,0.0,0.0,"{""Istanbul"": 9.32420859265772, ""Ankara"": 10.575658425791834, ""Izmir"": 7.632865562714986, ""Bursa"": 8.653870950643146, ""Kocaeli"": 3.5078394272258406, ""Adana"": 10.16247180194781, ""Gaziantep"": 8.156235688406836, ""Konya"": 5.920240155567488, ""Antalya"": 7.460652734685781, ""Mersin"": 2.446169729285379, ""Kayseri"": 5.179200628510131, ""Eskisehir"": 7.870836603909013, ""Sakarya"": 6.430094168396573, ""Denizli"": 8.480112800055336, ""Manisa"": 6.10753295565448, ""Zonguldak"": 9.051258017903256, ""Hatay"": 16.784982488694375, ""Samsun"": 7.568647162880626}",9.32420859265772,10.575658425791834,7.632865562714986,0.44912121212121214,77042.22247703948,14744260.278396659,0.258859449933157
2029,20,136.2063693102322,30,13,67,0,850,447.20000000000005,BAU,0.0,13.751862932754378,10,50,63.69878384370143,89.9923,0.0,0.0,"{""Istanbul"": 8.928434619885998, ""Ankara"": 10.136833581762595, ""Izmir"": 7.232355372553381, ""Bursa"": 8.494317767314142, ""Kocaeli"": 3.3638785609166946, ""Adana"": 9.716742880932863, ""Gaziantep"": 7.992768033981894, ""Konya"": 5.65920388568462, ""Antalya"": 7.1315726661024, ""Mersin"": 2.3522058758315745, ""Kayseri"": 5.088368884244187, ""Eskisehir"": 7.6440705599757, ""Sakarya"": 6.1815315340273465, ""Denizli"": 8.007191896627315, ""Manisa"": 6.001821104369081, ""Zonguldak"": 8.73771299440461, ""Hatay"": 16.05383543438144, ""Samsun"": 7.483523657236359}",8.928434619885998,10.136833581762595,7.232355372553381,0.44912121212121214,12412.35806574525,2375464.1559639056,0.258859449933157
2030,20,135.1303855518033,30,0,80,0,890,447.20000000000005,BAU,0.0,25.311382111999094,10,50,63.672196303950756,89.9923,0.0,0.0,"{""Istanbul"": 8.868038617655158, ""Ankara"": 10.042454456591383, ""Izmir"": 7.231343909844659, ""Bursa"": 8.492051599348455, ""Kocaeli"": 3.298003388818087, ""Adana"": 9.611959514380812, ""Gaziantep"": 7.989831972249336, ""Konya"": 5.658618081754979, ""Antalya"": 7.058723182187042, ""Mersin"": 2.2994831252428076, ""Kayseri"": 5.0866800372216945, ""Eskisehir"": 7.641931904894973, ""Sakarya"": 6.110836596506627, ""Denizli"": 7.903254554652719, ""Manisa"": 5.932450294710506, ""Zonguldak"": 8.64153137988238, ""Hatay"": 15.782466182814428, ""Samsun"": 7.480726753047243}",8.868038617655158,10.042454456591383,7.231343909844659,0.4489090909090909,0.0,0.0,0.258859449933157
2031,20,135.11359459423986,30,0,80,0,910,447.20000000000005,BAU,0.0,42.34657623035233,10,50,63.655405346387326,89.9923,0.0,0.0,"{""Istanbul"": 8.866681539248601, ""Ankara"": 10.041435277297758, ""Izmir"": 7.230765931153961, ""Bursa"": 8.490133862995412, ""Kocaeli"": 3.297750724776599, ""Adana"": 9.6109286992173, ""Gaziantep"": 7.988412826141087, ""Konya"": 5.657654519480428, ""Antalya"": 7.05786836950086, ""Mersin"": 2.2994831252428076, ""Kayseri"": 5.085714981780271, ""Eskisehir"": 7.64082945518564, ""Sakarya"": 6.110484259427462, ""Denizli"": 7.9023447694449755, ""Manisa"": 5.931734413629726, ""Zonguldak"": 8.640986709658527, ""Hatay"": 15.781053340131907, ""Samsun"": 7.479331789926541}",8.866681539248601,10.041435277297758,7.230765931153961,0.4487878787878788,0.0,0.0,0.258859449933157
2032,20,135.10877909072593,30,0,80,0,910,447.20000000000005,BAU,0.0,66.59727086716376,10,50,63.650589842873394,89.9923,0.0,0.0,"{""Istanbul"": 8.86633113587101, ""Ankara"": 10.041101690618037, ""Izmir"": 7.230621436481287, ""Bursa"": 8.489515230475524, ""Kocaeli"": 3.297750724776599, ""Adana"": 9.610862693434639, ""Gaziantep"": 7.988154222687875, ""Konya"": 5.657205364357642, ""Antalya"": 7.05786836950086, ""Mersin"": 2.2994831252428076, ""Kayseri"": 5.085714981780271, ""Eskisehir"": 7.64022763375553, ""Sakarya"": 6.110396175157671, ""Denizli"": 7.9020500241245895, ""Manisa"": 5.931692774269614, ""Zonguldak"": 8.640358105493107, ""Hatay"": 15.780364933954143, ""Samsun"": 7.479080468744728}",8.86633113587101,10.041101690618037,7.230621436481287,0.44875757575757574,0.0,0.0,0.258859449933157
2033,20,135.10539860898703,30,0,80,0,910,447.20000000000005,BAU,0.0,66.59727086716376,10,50,63.6472093611345,89.9923,0.0,0.0,"{""Istanbul"": 8.866070001548588, ""Ankara"": 10.040851474001467, ""Izmir"": 7.230621436481287, ""Bursa"": 8.48922438708616, ""Kocaeli"": 3.297687558766227, ""Adana"": 9.610670995426423, ""Gaziantep"": 7.987734785297509, ""Konya"": 5.657121678081979, ""Antalya"": 7.057654666329315, ""Mersin"": 2.2994831252428076, ""Kayseri"": 5.085473717919914, ""Eskisehir"": 7.63992211160114, ""Sakarya"": 6.110396175157671, ""Denizli"": 7.901967316378431, ""Manisa"": 5.93155544335953, ""Zonguldak"": 8.640234996340741, ""Hatay"": 15.779999775627113, ""Samsun"": 7.478728964340732}",8.866070001548588,10.040851474001467,7.230621436481287,0.44875757575757574,0.0,0.0,0.258859449933157
2034,20,135.10539860898703,30,0,80,0,910,447.20000000000005,BAU,0.0,66.59727086716376,10,50,63.6472093611345,89.9923,0.0,0.0,"{""Istanbul"": 8.866070001548588, ""Ankara"": 10.040851474001467, ""Izmir"": 7.230621436481287, ""Bursa"": 8.48922438708616, ""Kocaeli"": 3.297687558766227, ""Adana"": 9.610670995426423, ""Gaziantep"": 7.987734785297509, ""Konya"": 5.657121678081979, ""Antalya"": 7.057654666329315, ""Mersin"": 2.2994831252428076, ""Kayseri"": 5.085473717919914, ""Eskisehir"": 7.63992211160114, ""Sakarya"": 6.110396175157671, ""Denizli"": 7.901967316378431, ""Manisa"": 5.93155544335953, ""Zonguldak"": 8.640234996340741, ""Hatay"": 15.779999775627113, ""Samsun"": 7.478728964340732}",8.866070001548588,10.040851474001467,7.230621436481287,0.44875757575757574,0.0,0.0,0.258859449933157
