Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon,Ulasim_Toplam_Emisyon,Karayolu_EV_Penetrasyon,Ulasim_Azaltim_Orani,Il_Emisyonlari_JSON,Istanbul_Emisyon,Ankara_Emisyon,Izmir_Emisyon,Grid_Emisyon_Faktoru,GDP_Etkisi_USD,Istihdam_Etkisi_Kisi,Ortalama_Transit_Kapasite
2025,0,153.33913510141403,110,0,0,0,0,447.20000000000005,ETS_Tesvik,0.0,0.0,10,50,75.18287096460003,89.9923,0.0,0.0,"{""Istanbul"": 15.878219530030194, ""Ankara"": 8.698432900045999, ""Izmir"": 10.080746176505144, ""Bursa"": 6.290904635335926, ""Kocaeli"": 7.690055235786616, ""Adana"": 9.186371619008119, ""Gaziantep"": 5.833193187361649, ""Konya"": 3.710913498489791, ""Antalya"": 12.036878438031517, ""Mersin"": 6.706057920746707, ""Kayseri"": 7.686397194372715, ""Eskisehir"": 12.138047222058493, ""Sakarya"": 3.848544143977801, ""Denizli"": 9.731209110088916, ""Manisa"": 7.098783292160858, ""Zonguldak"": 11.744696727998997, ""Hatay"": 7.842470952796351, ""Samsun"": 7.137213316618248}",15.878219530030194,8.698432900045999,10.080746176505144,0.442,0.0,0.0,0.31491938926660307
2026,0,154.83773735096807,98,12,0,0,430,447.20000000000005,ETS_Tesvik,172.9887683193024,3.2988061864696903,10,50,76.68147321415405,89.9923,0.0,0.0,"{""Istanbul"": 16.089809344500246, ""Ankara"": 8.83950210836761, ""Izmir"": 10.19718168730468, ""Bursa"": 6.344891151816805, ""Kocaeli"": 7.754644369060047, ""Adana"": 9.287756948762844, ""Gaziantep"": 5.902405042444709, ""Konya"": 3.710913498489791, ""Antalya"": 12.16848265466282, ""Mersin"": 6.790919766188644, ""Kayseri"": 7.721771572996815, ""Eskisehir"": 12.230026278536718, ""Sakarya"": 3.872369796627855, ""Denizli"": 9.785381430284948, ""Manisa"": 7.114222897651199, ""Zonguldak"": 11.87629493853797, ""Hatay"": 7.912209046416047, ""Samsun"": 7.238954818318314}",16.089809344500246,8.83950210836761,10.19718168730468,0.4513333333333333,12840.370412839915,2457376.7130661095,0.31491938926660307
2027,20,151.97544305370678,65,45,0,0,690,429.312,ETS_Tesvik,160.79126159269214,20.14421612388967,10,50,73.81917891689278,89.9923,0.0,0.0,"{""Istanbul"": 15.506802561123889, ""Ankara"": 8.605844882520696, ""Izmir"": 10.19718168730468, ""Bursa"": 6.260526665489135, ""Kocaeli"": 7.516097538478397, ""Adana"": 9.140233148912225, ""Gaziantep"": 5.6776252157771205, ""Konya"": 3.710913498489791, ""Antalya"": 11.877274376798953, ""Mersin"": 6.661098144382646, ""Kayseri"": 7.5141553189007855, ""Eskisehir"": 12.230026278536718, ""Sakarya"": 3.872369796627855, ""Denizli"": 9.643923849908376, ""Manisa"": 7.114222897651199, ""Zonguldak"": 11.674858142497559, ""Hatay"": 7.660552511674225, ""Samsun"": 7.111736538632541}",15.506802561123889,8.605844882520696,10.19718168730468,0.450030303030303,44085.27175075038,8436993.381526975,0.31491938926660307
2028,20,148.9559780276098,30,80,0,0,820,412.13952,ETS_Tesvik,134.54681980390188,26.12241334323936,10,50,70.7997138907958,89.9923,0.0,0.0,"{""Istanbul"": 15.136650049810335, ""Ankara"": 8.264485687218867, ""Izmir"": 9.836413650142491, ""Bursa"": 6.127894709520095, ""Kocaeli"": 7.511241301332514, ""Adana"": 8.755405790882008, ""Gaziantep"": 5.548699761346723, ""Konya"": 3.710913498489791, ""Antalya"": 11.737505317663766, ""Mersin"": 6.522819021272319, ""Kayseri"": 7.397961047656914, ""Eskisehir"": 11.995434889522205, ""Sakarya"": 3.7771383535615293, ""Denizli"": 9.528645708769046, ""Manisa"": 7.021629377867694, ""Zonguldak"": 11.448530774304311, ""Hatay"": 7.658990914553882, ""Samsun"": 6.975618173695318}",15.136650049810335,8.264485687218867,9.836413650142491,0.44927272727272727,77042.22247703948,14744260.278396659,0.31491938926660307
2029,20,146.34365300371144,30,47,33,0,880,395.65393919999997,ETS_Tesvik,134.54681980390188,26.12241334323936,10,50,70.71648696836596,89.9923,0.0,0.0,"{""Istanbul"": 14.847562796241373, ""Ankara"": 8.261201131945178, ""Izmir"": 9.666188842195428, ""Bursa"": 6.126229540992275, ""Kocaeli"": 7.269909664790407, ""Adana"": 8.614015087192026, ""Gaziantep"": 5.546930767420898, ""Konya"": 3.54989642159133, ""Antalya"": 11.431310551195319, ""Mersin"": 6.433921804200495, ""Kayseri"": 7.316580088718242, ""Eskisehir"": 11.811751180679904, ""Sakarya"": 3.6901755955166067, ""Denizli"": 9.261997425557274, ""Manisa"": 6.862981020565521, ""Zonguldak"": 11.293589764985592, ""Hatay"": 7.468383127670414, ""Samsun"": 6.891028192253144}",14.847562796241373,8.261201131945178,9.666188842195428,0.44896969696969696,45797.321139129024,8764643.60993579,0.31491938926660307
2030,20,143.5619008950738,30,12,68,0,880,379.827781632,ETS_Tesvik,134.54681980390188,28.5784821061201,10,50,70.69677712905401,89.9923,0.0,0.0,"{""Istanbul"": 14.769386409663388, ""Ankara"": 8.098848494359094, ""Izmir"": 9.454302227383252, ""Bursa"": 5.987665026272348, ""Kocaeli"": 7.204852040199721, ""Adana"": 8.464326811341245, ""Gaziantep"": 5.399200309459202, ""Konya"": 3.467486197123513, ""Antalya"": 11.29300026972422, ""Mersin"": 6.352942434604103, ""Kayseri"": 7.011221967849754, ""Eskisehir"": 11.434135259212573, ""Sakarya"": 3.62192974709035, ""Denizli"": 8.983930639465175, ""Manisa"": 6.622605902705505, ""Zonguldak"": 11.120830542809896, ""Hatay"": 7.385808047949487, ""Samsun"": 6.889428567860961}",14.769386409663388,8.098848494359094,9.454302227383252,0.44884848484848483,12840.370412839915,2457376.7130661095,0.31491938926660307
2031,20,143.5438090819194,30,12,68,0,880,364.63467036671994,ETS_Tesvik,134.54681980390188,37.90518295746355,10,50,70.6786853158996,89.9923,0.0,0.0,"{""Istanbul"": 14.767209818460627, ""Ankara"": 8.097163161177278, ""Izmir"": 9.45288158104581, ""Bursa"": 5.986429363559202, ""Kocaeli"": 7.204075042256379, ""Adana"": 8.463388953740848, ""Gaziantep"": 5.398393068048078, ""Konya"": 3.467486197123513, ""Antalya"": 11.291400971282314, ""Mersin"": 6.351908669417539, ""Kayseri"": 7.010555387173896, ""Eskisehir"": 11.433000452671608, ""Sakarya"": 3.621645076954791, ""Denizli"": 8.983293142391087, ""Manisa"": 6.622605902705505, ""Zonguldak"": 11.11923146057287, ""Hatay"": 7.384967517770775, ""Samsun"": 6.888173315567259}",14.767209818460627,8.097163161177278,9.45288158104581,0.44884848484848483,12840.370412839915,2457376.7130661095,0.31491938926660307
2032,20,141.03949015911678,30,0,80,0,880,350.0492835520511,ETS_Tesvik,134.54681980390188,89.57677432759102,10,50,70.6786853158996,89.9923,0.0,0.0,"{""Istanbul"": 14.767209818460627, ""Ankara"": 8.097163161177278, ""Izmir"": 9.45288158104581, ""Bursa"": 5.986429363559202, ""Kocaeli"": 7.022462124891606, ""Adana"": 8.241435136937364, ""Gaziantep"": 5.117917739384353, ""Konya"": 3.467486197123513, ""Antalya"": 11.291400971282314, ""Mersin"": 6.168946068518386, ""Kayseri"": 6.847899850402254, ""Eskisehir"": 11.433000452671608, ""Sakarya"": 3.442639912953622, ""Denizli"": 8.771239432924006, ""Manisa"": 6.388848646586168, ""Zonguldak"": 10.72630811046132, ""Hatay"": 7.217101343249108, ""Samsun"": 6.599120247488245}",14.767209818460627,8.097163161177278,9.45288158104581,0.44884848484848483,0.0,0.0,0.31491938926660307
2033,20,141.03949015911678,30,0,80,0,880,336.04731220996905,ETS_Tesvik,94.18277386273131,101.78794117038998,10,50,70.6786853158996,89.9923,0.0,0.0,"{""Istanbul"": 14.767209818460627, ""Ankara"": 8.097163161177278, ""Izmir"": 9.45288158104581, ""Bursa"": 5.986429363559202, ""Kocaeli"": 7.022462124891606, ""Adana"": 8.241435136937364, ""Gaziantep"": 5.117917739384353, ""Konya"": 3.467486197123513, ""Antalya"": 11.291400971282314, ""Mersin"": 6.168946068518386, ""Kayseri"": 6.847899850402254, ""Eskisehir"": 11.433000452671608, ""Sakarya"": 3.442639912953622, ""Denizli"": 8.771239432924006, ""Manisa"": 6.388848646586168, ""Zonguldak"": 10.72630811046132, ""Hatay"": 7.217101343249108, ""Samsun"": 6.599120247488245}",14.767209818460627,8.097163161177278,9.45288158104581,0.44884848484848483,0.0,0.0,0.31491938926660307
2034,20,141.03949015911678,30,0,80,0,880,322.6054197215703,ETS_Tesvik,94.18277386273131,108.37009617102298,10,50,70.6786853158996,89.9923,0.0,0.0,"{""Istanbul"": 14.767209818460627, ""Ankara"": 8.097163161177278, ""Izmir"": 9.45288158104581, ""Bursa"": 5.986429363559202, ""Kocaeli"": 7.022462124891606, ""Adana"": 8.241435136937364, ""Gaziantep"": 5.117917739384353, ""Konya"": 3.467486197123513, ""Antalya"": 11.291400971282314, ""Mersin"": 6.168946068518386, ""Kayseri"": 6.847899850402254, ""Eskisehir"": 11.433000452671608, ""Sakarya"": 3.442639912953622, ""Denizli"": 8.771239432924006, ""Manisa"": 6.388848646586168, ""Zonguldak"": 10.72630811046132, ""Hatay"": 7.217101343249108, ""Samsun"": 6.599120247488245}",14.767209818460627,8.097163161177278,9.45288158104581,0.44884848484848483,0.0,0.0,0.31491938926660307
2035,20,141.03949015911678,30,0,80,0,880,309.7012029327075,ETS_Tesvik,94.18277386273131,116.03637350372864,10,50,70.6786853158996,89.9923,0.0,0.0,"{""Istanbul"": 14.767209818460627, ""Ankara"": 8.097163161177278, ""Izmir"": 9.45288158104581, ""Bursa"": 5.986429363559202, ""Kocaeli"": 7.022462124891606, ""Adana"": 8.241435136937364, ""Gaziantep"": 5.117917739384353, ""Konya"": 3.467486197123513, ""Antalya"": 11.291400971282314, ""Mersin"": 6.168946068518386, ""Kayseri"": 6.847899850402254, ""Eskisehir"": 11.433000452671608, ""Sakarya"": 3.442639912953622, ""Denizli"": 8.771239432924006, ""Manisa"": 6.388848646586168, ""Zonguldak"": 10.72630811046132, ""Hatay"": 7.217101343249108, ""Samsun"": 6.599120247488245}",14.767209818460627,8.097163161177278,9.45288158104581,0.44884848484848483,0.0,0.0,0.31491938926660307
