Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon,Ulasim_Toplam_Emisyon,Karayolu_EV_Penetrasyon,Ulasim_Azaltim_Orani,Il_Emisyonlari_JSON,Istanbul_Emisyon,Ankara_Emisyon,Izmir_Emisyon,Grid_Emisyon_Faktoru,GDP_Etkisi_USD,Istihdam_Etkisi_Kisi,Ortalama_Transit_Kapasite
2025,0,149.40239920898395,110,0,0,0,0,447.20000000000005,Siki_ETS,0.0,0.0,10,50,73.2250986756666,89.9923,0.0,0.0,"{""Istanbul"": 11.810191880578877, ""Ankara"": 8.126274482765279, ""Izmir"": 14.111146683770551, ""Bursa"": 1.4796412964286836, ""Kocaeli"": 11.38107663684888, ""Adana"": 7.267206658220997, ""Gaziantep"": 9.170811534396401, ""Konya"": 7.818782934560486, ""Antalya"": 6.427899021193866, ""Mersin"": 5.337237874127626, ""Kayseri"": 7.812520356663062, ""Eskisehir"": 8.488743166883035, ""Sakarya"": 5.542241966301424, ""Denizli"": 8.778624649620067, ""Manisa"": 8.736708082300822, ""Zonguldak"": 7.733288133097243, ""Hatay"": 11.532011141968056, ""Samsun"": 7.847992709258606}",11.810191880578877,8.126274482765279,14.111146683770551,0.442,0.0,0.0,0.27689214786075333
2026,0,149.8824604350413,97,13,0,0,350,447.20000000000005,Siki_ETS,210.45781998896405,0.0,10,50,73.70515990172395,89.9923,0.0,0.0,"{""Istanbul"": 11.859869920604911, ""Ankara"": 8.172785612460547, ""Izmir"": 14.13632956439686, ""Bursa"": 1.4796412964286836, ""Kocaeli"": 11.437375155631667, ""Adana"": 7.281207574168458, ""Gaziantep"": 9.170811534396401, ""Konya"": 7.867168841120533, ""Antalya"": 6.4414762741479725, ""Mersin"": 5.337237874127626, ""Kayseri"": 7.836079860950676, ""Eskisehir"": 8.569095946054116, ""Sakarya"": 5.542241966301424, ""Denizli"": 8.805333022098536, ""Manisa"": 8.758489787734538, ""Zonguldak"": 7.733288133097243, ""Hatay"": 11.58987461169071, ""Samsun"": 7.864153459630392}",11.859869920604911,8.172785612460547,14.13632956439686,0.45081818181818184,13910.401280576572,2662158.105821619,0.27689214786075333
2027,20,145.29370459626702,34,76,0,0,530,429.312,Siki_ETS,178.83097202816717,13.267789174876736,10,50,69.11640406294967,89.9923,0.0,0.0,"{""Istanbul"": 11.292383134312633, ""Ankara"": 7.975730180685871, ""Izmir"": 13.669320116117, ""Bursa"": 1.385866276306851, ""Kocaeli"": 10.986592998789257, ""Adana"": 7.0511779793429765, ""Gaziantep"": 9.023463592283294, ""Konya"": 7.681388015960821, ""Antalya"": 6.273298711678281, ""Mersin"": 5.119893775092896, ""Kayseri"": 7.836079860950676, ""Eskisehir"": 8.158000716505448, ""Sakarya"": 5.542241966301424, ""Denizli"": 8.38929158601412, ""Manisa"": 8.419241868503546, ""Zonguldak"": 7.582589720769286, ""Hatay"": 11.245100038388335, ""Samsun"": 7.662044058264307}",11.292383134312633,7.975730180685871,13.669320116117,0.4502424242424242,73190.11135318752,14007047.264476825,0.27689214786075333
2028,20,145.1237928508301,30,80,0,0,630,412.13952,Siki_ETS,163.68941554697204,13.267789174876736,10,50,68.94649231751276,89.9923,0.0,0.0,"{""Istanbul"": 11.287048840241377, ""Ankara"": 7.972845211988277, ""Izmir"": 13.666308479716639, ""Bursa"": 1.385047042001768, ""Kocaeli"": 10.979229530701947, ""Adana"": 7.046749191201213, ""Gaziantep"": 9.017590498863525, ""Konya"": 7.67717291676203, ""Antalya"": 6.272518602848754, ""Mersin"": 5.113711833324867, ""Kayseri"": 7.737191472919531, ""Eskisehir"": 8.151401369241071, ""Sakarya"": 5.542241966301424, ""Denizli"": 8.38711338198908, ""Manisa"": 8.416538148499175, ""Zonguldak"": 7.575637896620957, ""Hatay"": 11.236178620970732, ""Samsun"": 7.65926784663775}",11.287048840241377,7.972845211988277,13.666308479716639,0.4497878787878788,77042.22247703948,14744260.278396659,0.27689214786075333
2029,20,140.30232789730798,30,17,63,0,680,395.65393919999997,Siki_ETS,163.68941554697204,16.831133948369153,10,50,68.88912112539005,89.9923,0.0,0.0,"{""Istanbul"": 10.899001927114492, ""Ankara"": 7.5752852439906375, ""Izmir"": 13.170999866563692, ""Bursa"": 1.384664732659396, ""Kocaeli"": 10.749231281681189, ""Adana"": 6.8398405203810375, ""Gaziantep"": 8.728197621947707, ""Konya"": 7.461990185715395, ""Antalya"": 6.031156302780933, ""Mersin"": 5.039529130407819, ""Kayseri"": 7.298442112603409, ""Eskisehir"": 8.072277398459685, ""Sakarya"": 5.238494981866865, ""Denizli"": 8.083005649640874, ""Manisa"": 8.17878204180094, ""Zonguldak"": 7.289702446218787, ""Hatay"": 10.980839864473344, ""Samsun"": 7.280886589001767}",10.899001927114492,7.5752852439906375,13.170999866563692,0.4495757575757576,17762.51240442855,3399371.119741452,0.27689214786075333
2030,20,139.97368323798497,30,13,67,0,700,379.827781632,Siki_ETS,163.68941554697204,16.831133948369153,10,50,68.86873668536504,89.9923,0.0,0.0,"{""Istanbul"": 10.897705253580671, ""Ankara"": 7.573814922594388, ""Izmir"": 13.169071783153896, ""Bursa"": 1.384664732659396, ""Kocaeli"": 10.74760637691545, ""Adana"": 6.83925863177038, ""Gaziantep"": 8.656754773943737, ""Konya"": 7.460626477151081, ""Antalya"": 5.958343852598807, ""Mersin"": 5.0390341669440835, ""Kayseri"": 7.298144177978741, ""Eskisehir"": 8.069997386467472, ""Sakarya"": 5.238494981866865, ""Denizli"": 8.081618934066796, ""Manisa"": 8.108953715013474, ""Zonguldak"": 7.287614085970763, ""Hatay"": 10.881948898335425, ""Samsun"": 7.2800300869735555}",10.897705253580671,7.573814922594388,13.169071783153896,0.44945454545454544,13910.401280576572,2662158.105821619,0.27689214786075333
2031,20,139.96298900789273,30,13,67,0,710,364.63467036671994,Siki_ETS,163.68941554697204,16.831133948369153,10,50,68.85804245527278,89.9923,0.0,0.0,"{""Istanbul"": 10.89695676930167, ""Ankara"": 7.573579569985704, ""Izmir"": 13.168226226535616, ""Bursa"": 1.384282423317024, ""Kocaeli"": 10.746622567270418, ""Adana"": 6.838792338841513, ""Gaziantep"": 8.656302260284162, ""Konya"": 7.459520751107698, ""Antalya"": 5.957879900081301, ""Mersin"": 5.037871064677722, ""Kayseri"": 7.298144177978741, ""Eskisehir"": 8.068945428157955, ""Sakarya"": 5.238494981866865, ""Denizli"": 8.080758730857752, ""Manisa"": 8.108458441866771, ""Zonguldak"": 7.286901591505642, ""Hatay"": 10.88122169728262, ""Samsun"": 7.2800300869735555}",10.89695676930167,7.573579569985704,13.168226226535616,0.44936363636363635,13910.401280576572,2662158.105821619,0.27689214786075333
2032,20,137.06612417113175,30,0,80,0,710,350.0492835520511,Siki_ETS,163.68941554697204,26.08809265731238,10,50,68.85063236743179,89.9923,0.0,0.0,"{""Istanbul"": 10.629380400361468, ""Ankara"": 7.5731240486123985, ""Izmir"": 13.167344202527197, ""Bursa"": 1.384282423317024, ""Kocaeli"": 10.480850001211824, ""Adana"": 6.668614448503246, ""Gaziantep"": 8.655827443403775, ""Konya"": 7.232025483372231, ""Antalya"": 5.957624317001931, ""Mersin"": 4.858043418068233, ""Kayseri"": 7.0152242599892185, ""Eskisehir"": 8.068477286043462, ""Sakarya"": 5.064348456843698, ""Denizli"": 7.8598108663501955, ""Manisa"": 7.898923411909515, ""Zonguldak"": 7.1220992851354925, ""Hatay"": 10.644088401226448, ""Samsun"": 6.786036017254383}",10.629380400361468,7.5731240486123985,13.167344202527197,0.44936363636363635,0.0,0.0,0.27689214786075333
2033,20,137.06612417113175,30,0,80,0,710,336.04731220996905,Siki_ETS,114.5825908828804,26.08809265731238,10,50,68.85063236743179,89.9923,0.0,0.0,"{""Istanbul"": 10.629380400361468, ""Ankara"": 7.5731240486123985, ""Izmir"": 13.167344202527197, ""Bursa"": 1.384282423317024, ""Kocaeli"": 10.480850001211824, ""Adana"": 6.668614448503246, ""Gaziantep"": 8.655827443403775, ""Konya"": 7.232025483372231, ""Antalya"": 5.957624317001931, ""Mersin"": 4.858043418068233, ""Kayseri"": 7.0152242599892185, ""Eskisehir"": 8.068477286043462, ""Sakarya"": 5.064348456843698, ""Denizli"": 7.8598108663501955, ""Manisa"": 7.898923411909515, ""Zonguldak"": 7.1220992851354925, ""Hatay"": 10.644088401226448, ""Samsun"": 6.786036017254383}",10.629380400361468,7.5731240486123985,13.167344202527197,0.44936363636363635,0.0,0.0,0.27689214786075333
2034,20,137.06612417113175,30,0,80,0,710,322.6054197215703,Siki_ETS,114.5825908828804,45.961475664114744,10,50,68.85063236743179,89.9923,0.0,0.0,"{""Istanbul"": 10.629380400361468, ""Ankara"": 7.5731240486123985, ""Izmir"": 13.167344202527197, ""Bursa"": 1.384282423317024, ""Kocaeli"": 10.480850001211824, ""Adana"": 6.668614448503246, ""Gaziantep"": 8.655827443403775, ""Konya"": 7.232025483372231, ""Antalya"": 5.957624317001931, ""Mersin"": 4.858043418068233, ""Kayseri"": 7.0152242599892185, ""Eskisehir"": 8.068477286043462, ""Sakarya"": 5.064348456843698, ""Denizli"": 7.8598108663501955, ""Manisa"": 7.898923411909515, ""Zonguldak"": 7.1220992851354925, ""Hatay"": 10.644088401226448, ""Samsun"": 6.786036017254383}",10.629380400361468,7.5731240486123985,13.167344202527197,0.44936363636363635,0.0,0.0,0.27689214786075333
