Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon,Ulasim_Toplam_Emisyon,Karayolu_EV_Penetrasyon,Ulasim_Azaltim_Orani,Il_Emisyonlari_JSON,Istanbul_Emisyon,Ankara_Emisyon,Izmir_Emisyon,Grid_Emisyon_Faktoru,GDP_Etkisi_USD,Istihdam_Etkisi_Kisi,Ortalama_Transit_Kapasite
2025,0,155.16228382722045,110,0,0,0,0,447.20000000000005,Yumusak_ETS,0.0,0.0,10,50,77.81197119003238,89.9923,0.0,0.0,"{""Istanbul"": 6.839741077841247, ""Ankara"": 10.00687410271759, ""Izmir"": 5.824941458472679, ""Bursa"": 10.942329046095843, ""Kocaeli"": 4.888417917135292, ""Adana"": 8.995838856140345, ""Gaziantep"": 10.026283557058006, ""Konya"": 9.143024526350056, ""Antalya"": 6.608384126579641, ""Mersin"": 8.821524626702939, ""Kayseri"": 9.508527034711987, ""Eskisehir"": 7.673243672175616, ""Sakarya"": 13.971851327904655, ""Denizli"": 8.541735536887398, ""Manisa"": 10.924253034315, ""Zonguldak"": 9.559705230978016, ""Hatay"": 7.164452075111915, ""Samsun"": 5.72115662004221}",6.839741077841247,10.00687410271759,5.824941458472679,0.442,0.0,0.0,0.3109351658252276
2026,0,156.73011009070393,91,19,0,0,410,447.20000000000005,Yumusak_ETS,378.7074928454,35.80954211823122,10,50,79.37979745351585,89.9923,0.0,0.0,"{""Istanbul"": 6.940469500283872, ""Ankara"": 10.0965915758024, ""Izmir"": 5.888187889254785, ""Bursa"": 11.032158812283688, ""Kocaeli"": 4.961272302904251, ""Adana"": 9.119580983439608, ""Gaziantep"": 10.163595899303733, ""Konya"": 9.227875205167855, ""Antalya"": 6.729335638957738, ""Mersin"": 8.871641421055521, ""Kayseri"": 9.598444192008326, ""Eskisehir"": 7.714275172266983, ""Sakarya"": 14.112939455932816, ""Denizli"": 8.574623018122056, ""Manisa"": 11.03951063245706, ""Zonguldak"": 9.698380010980149, ""Hatay"": 7.187869080011282, ""Samsun"": 5.773359300471794}",6.940469500283872,10.0965915758024,5.888187889254785,0.45142424242424245,19902.574139901866,3808933.9052524692,0.3109351658252276
2027,20,152.3491279021204,35,75,0,0,690,438.25600000000003,Yumusak_ETS,252.47166189693334,41.48011894119513,10,50,74.99881526493233,89.9923,0.0,0.0,"{""Istanbul"": 6.699223309105773, ""Ankara"": 9.691347150799302, ""Izmir"": 5.68834556254643, ""Bursa"": 10.829661688257284, ""Kocaeli"": 4.66944873973627, ""Adana"": 8.643390563518086, ""Gaziantep"": 10.076773066754651, ""Konya"": 8.981642440782515, ""Antalya"": 6.349176757957618, ""Mersin"": 8.751610892844843, ""Kayseri"": 9.598444192008326, ""Eskisehir"": 7.61600406987774, ""Sakarya"": 13.664469974588352, ""Denizli"": 8.448597344050622, ""Manisa"": 10.600840613440347, ""Zonguldak"": 9.21352500308076, ""Hatay"": 7.053267232299689, ""Samsun"": 5.773359300471794}",6.699223309105773,9.691347150799302,5.68834556254643,0.44942424242424245,72334.08665899819,13843222.150272418,0.3109351658252276
2028,20,150.7340197006204,30,77,3,0,800,429.49088,Yumusak_ETS,252.47166189693334,51.57170048701934,10,50,73.61859333022463,89.9923,0.0,0.0,"{""Istanbul"": 6.676454151235301, ""Ankara"": 9.672646760177376, ""Izmir"": 5.675482350925885, ""Bursa"": 10.617734364661775, ""Kocaeli"": 4.654820153580648, ""Adana"": 8.616797347231067, ""Gaziantep"": 9.594198176320957, ""Konya"": 8.884250008308644, ""Antalya"": 6.324240011635545, ""Mersin"": 8.741506960349964, ""Kayseri"": 9.364011018616061, ""Eskisehir"": 7.517553458001135, ""Sakarya"": 13.626387035352472, ""Denizli"": 8.441398052338545, ""Manisa"": 10.456406123567403, ""Zonguldak"": 9.185236875003435, ""Hatay"": 7.048363967479602, ""Samsun"": 5.636532885834576}",6.676454151235301,9.672646760177376,5.675482350925885,0.4491818181818182,74260.14222092417,14211828.657232333,0.3109351658252276
2029,20,144.58670615173438,30,5,75,0,850,420.9010624,Yumusak_ETS,252.47166189693334,75.9852058616627,10,50,73.58023155904228,89.9923,0.0,0.0,"{""Istanbul"": 6.522651776029143, ""Ankara"": 9.161883977100558, ""Izmir"": 5.416558213757072, ""Bursa"": 10.042371324229656, ""Kocaeli"": 4.531299108945078, ""Adana"": 8.317108928617403, ""Gaziantep"": 9.227025430880078, ""Konya"": 8.634914986080013, ""Antalya"": 6.2461176204634885, ""Mersin"": 8.17545159812137, ""Kayseri"": 9.060335347855766, ""Eskisehir"": 7.272841854073386, ""Sakarya"": 13.157112312040862, ""Denizli"": 7.894954436076244, ""Manisa"": 10.178426017658179, ""Zonguldak"": 8.91883754745729, ""Hatay"": 6.419213163837773, ""Samsun"": 5.409602508511021}",6.522651776029143,9.161883977100558,5.416558213757072,0.4489393939393939,4708.135818041303,901038.1281242403,0.3109351658252276
2030,20,144.202197350957,30,0,80,0,890,412.483041152,Yumusak_ETS,214.60091261239333,86.42503645407268,10,50,73.55986613407464,89.9923,0.0,0.0,"{""Istanbul"": 6.522651776029143, ""Ankara"": 9.080763877559013, ""Izmir"": 5.415038615424937, ""Bursa"": 10.041708437164752, ""Kocaeli"": 4.529913478391006, ""Adana"": 8.31510436204746, ""Gaziantep"": 9.223784701261055, ""Konya"": 8.63420660358687, ""Antalya"": 6.244521031976406, ""Mersin"": 8.17545159812137, ""Kayseri"": 8.9645486181, ""Eskisehir"": 7.148756191268395, ""Sakarya"": 13.088120942523494, ""Denizli"": 7.894176134269533, ""Manisa"": 10.177066641045917, ""Zonguldak"": 8.91756866983885, ""Hatay"": 6.419213163837773, ""Samsun"": 5.409602508511021}",6.522651776029143,9.080763877559013,5.415038615424937,0.4489393939393939,0.0,0.0,0.3109351658252276
2031,20,144.18422072668073,30,0,80,0,900,404.23338032896,Yumusak_ETS,214.60091261239333,101.06514903758995,10,50,73.54188950979838,89.9923,0.0,0.0,"{""Istanbul"": 6.521421010738847, ""Ankara"": 9.0797187674338, ""Izmir"": 5.41427881625887, ""Bursa"": 10.041127008721311, ""Kocaeli"": 4.529054802163307, ""Adana"": 8.31385967912936, ""Gaziantep"": 9.222499471807494, ""Konya"": 8.63318139259562, ""Antalya"": 6.243067462142729, ""Mersin"": 8.174839238576226, ""Kayseri"": 8.96344995186937, ""Eskisehir"": 7.148254841749593, ""Sakarya"": 13.085877480252165, ""Denizli"": 7.893786983366177, ""Manisa"": 10.175713333767964, ""Zonguldak"": 8.91617770135679, ""Hatay"": 6.418948122496147, ""Samsun"": 5.408964662254969}",6.521421010738847,9.0797187674338,5.41427881625887,0.44881818181818184,0.0,0.0,0.3109351658252276
2032,20,144.17749220825294,30,0,80,0,900,396.14871272238076,Yumusak_ETS,214.60091261239333,113.98068779043052,10,50,73.53516099137059,89.9923,0.0,0.0,"{""Istanbul"": 6.521113319416274, ""Ankara"": 9.079457489902497, ""Izmir"": 5.4140888664673525, ""Bursa"": 10.040374805508934, ""Kocaeli"": 4.528840133106382, ""Adana"": 8.31327476640197, ""Gaziantep"": 9.221759245249165, ""Konya"": 8.632925089847808, ""Antalya"": 6.242704069684311, ""Mersin"": 8.17468614868994, ""Kayseri"": 8.963175285311713, ""Eskisehir"": 7.1481295043698925, ""Sakarya"": 13.085316614684332, ""Denizli"": 7.893689695640338, ""Manisa"": 10.174768203563886, ""Zonguldak"": 8.915501907556457, ""Hatay"": 6.41888186216074, ""Samsun"": 5.4088052006909555}",6.521113319416274,9.079457489902497,5.4140888664673525,0.4487878787878788,0.0,0.0,0.3109351658252276
2033,20,144.17737120646356,30,0,80,0,900,388.2257384679331,Yumusak_ETS,214.60091261239333,137.15121890986512,10,50,73.5350399895812,89.9923,0.0,0.0,"{""Istanbul"": 6.521113319416274, ""Ankara"": 9.079457489902497, ""Izmir"": 5.4140888664673525, ""Bursa"": 10.040374805508934, ""Kocaeli"": 4.528840133106382, ""Adana"": 8.31327476640197, ""Gaziantep"": 9.221759245249165, ""Konya"": 8.632925089847808, ""Antalya"": 6.242704069684311, ""Mersin"": 8.17468614868994, ""Kayseri"": 8.963175285311713, ""Eskisehir"": 7.1481295043698925, ""Sakarya"": 13.085316614684332, ""Denizli"": 7.893689695640338, ""Manisa"": 10.174647201774494, ""Zonguldak"": 8.915501907556457, ""Hatay"": 6.41888186216074, ""Samsun"": 5.4088052006909555}",6.521113319416274,9.079457489902497,5.4140888664673525,0.4487878787878788,0.0,0.0,0.3109351658252276
2034,20,144.17737120646356,30,0,80,0,900,380.46122369857443,Yumusak_ETS,214.60091261239333,138.79229648176704,10,50,73.5350399895812,89.9923,0.0,0.0,"{""Istanbul"": 6.521113319416274, ""Ankara"": 9.079457489902497, ""Izmir"": 5.4140888664673525, ""Bursa"": 10.040374805508934, ""Kocaeli"": 4.528840133106382, ""Adana"": 8.31327476640197, ""Gaziantep"": 9.221759245249165, ""Konya"": 8.632925089847808, ""Antalya"": 6.242704069684311, ""Mersin"": 8.17468614868994, ""Kayseri"": 8.963175285311713, ""Eskisehir"": 7.1481295043698925, ""Sakarya"": 13.085316614684332, ""Denizli"": 7.893689695640338, ""Manisa"": 10.174647201774494, ""Zonguldak"": 8.915501907556457, ""Hatay"": 6.41888186216074, ""Samsun"": 5.4088052006909555}",6.521113319416274,9.079457489902497,5.4140888664673525,0.4487878787878788,0.0,0.0,0.3109351658252276
